标题,开发商,房子信息,发布信息,售价/万,单价
金属材料公司家属院，精装好房，配套齐全,金属材料公司家属院 -驿城区,3室2厅 | 125.02平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,46,"3,680元/平"
文化路，同信府，电梯洋房三房毛坯，老证,同信府 -驿城区,3室2厅 | 124.45平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 27天以前发布,94.6,"7,602元/平"
双气，市政供暖，绿化好，使用率高，内部环境幽静,物华领馆 -驿城区,3室2厅 | 110平米 | 南 北 | 简装 | 25层  | 塔楼,0人关注 / 24天以前发布,55,"5,000元/平"
党校家属院 3室2厅 南,党校家属院 -驿城区,3室2厅 | 130平米 | 南 | 精装 | 7层  | 板楼,0人关注 / 22天以前发布,68,"5,231元/平"
房子在练江路上，交通便利。。。。。。。。。。。,驻马店卷烟厂东家属院 -驿城区,3室1厅 | 50.82平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 12天以前发布,13,"2,559元/平"
全屋品牌家具 德国地暖 精装修 大三房 拎包入住,天龙国际广场 -驿城区,3室3厅 | 138.6平米 | 南 | 精装 | 25层  | 板楼,0人关注 / 13天以前发布,105,"7,576元/平"
天地惠城西区 3室2厅 南,天地惠城西区 -驿城区,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 7天以前发布,78,"5,778元/平"
地高旁，天中山大道，精装3房，8成新，老证,天中国际 -驿城区,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,83,"6,385元/平"
顶楼五室南北通透采光充足配套齐全，交通便利看房方便,置地华庭 -驿城区,5室2厅 | 285.32平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 20天以前发布,158,"5,538元/平"
户型方正，采光通风效果好，实用设计合理,顯逹花园 -驿城区,1室0厅 | 35.97平米 | 西 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,16,"4,449元/平"
小区居于市繁华位置，交通便利，商场林立，上学方便。,顯逹花园 -驿城区,1室1厅 | 32.97平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 13天以前发布,14.2,"4,307元/平"
通厅通透 格局好，视野宽阔，采光充足， 配套设施齐全,鹏宇新城 -驿城区,3室2厅 | 123.65平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 8天以前发布,55,"4,449元/平"
看房方便有钥匙，房东诚心出售，有客户多多推荐，急卖,天地惠城西区 -驿城区,3室2厅 | 139.8平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 17天以前发布,65,"4,650元/平"
建业十八城四期，老证，多阳台看房方便，建业物业,建业十八城四期 -驿城区,3室2厅 | 140.62平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 5天以前发布,106.8,"7,595元/平"
前排采光好，两卧朝南，布局合理,建业十八城四期 -驿城区,3室2厅 | 137平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,106.6,"7,782元/平"
民生天都星城南门，户型方正，小区环境好，出门方便,民生 · 天都星城南区 -驿城区,4室2厅 | 122.65平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 2天以前发布,69.9,"5,700元/平"
"南北通透，户型方正，明厨明卫经典开间,楼间距宽",同信滨江1号 -驿城区,3室2厅 | 104.9平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 9天以前发布,59.8,"5,701元/平"
东方花都 精装四房 带车位带配房 老证可按揭,东方花都 -驿城区,4室2厅 | 130平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 12天以前发布,93,"7,154元/平"
天中上境1期，大四房，环境好，面对体育场,天中上境I期 -驿城区,4室1厅 | 182平米 | 南 | 毛坯 | 34层  | 塔楼,0人关注 / 7天以前发布,120,"6,594元/平"
市中位置，电梯中高层，采光好，带配房，老证,同信府 -驿城区,3室2厅 | 118.01平米 | 西南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,82.8,"7,017元/平"
户型南北通风效果好，全天采光无遮挡,置地·天中第一城北苑 -驿城区,3室2厅 | 134.94平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 塔楼,1人关注 / 3个月以前发布,96,"7,115元/平"
民生天都星城南区 精装三房 电梯高层 通风采光佳,民生 · 天都星城南区 -驿城区,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 25天以前发布,68.8,"6,371元/平"
置地百盛园满五唯一精装修双气小区前排采光刺眼,置地百盛园 -驿城区,2室1厅 | 98.47平米 | 南 | 精装 | 26层  | 板楼,0人关注 / 18天以前发布,76.3,"7,749元/平"
立方城，精装四房，小区内价格 低，看房有钥匙,中盛立方城 -驿城区,4室2厅 | 159.5平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,2人关注 / 29天以前发布,99.8,"6,258元/平"
解放路中段，交通方便，大型商场，出门进校门，,时代金源广场 -驿城区,3室2厅 | 114.3平米 | 南 北 | 精装 | 17层  | 板楼,0人关注 / 20天以前发布,88,"7,700元/平"
练江大桥旁的高档小区，全新精装末入住,上海滩花园 -驿城区,3室2厅 | 119.47平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,2人关注 / 22天以前发布,86,"7,199元/平"
驻马店恒大名都 3室2厅 南,驻马店恒大名都 -驿城区,3室2厅 | 125.76平米 | 南 | 精装 | 23层  | 板楼,0人关注 / 22天以前发布,88,"6,998元/平"
西班牙二期，小区设施设备齐全，配套成熟，出行便利！,西班牙小镇二期 -驿城区,3室2厅 | 129.34平米 | 西南 | 精装 | 33层  | 塔楼,1人关注 / 18天以前发布,89,"6,882元/平"
该房格局好，楼层好，视野宽阔，采光充足，配套设施..,驿城碧桂园 -驿城区,3室2厅 | 119平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 16天以前发布,68.8,"5,782元/平"
