iter	RMSE
0	106.9592234
1	97.93484523
2	90.94239083
3	87.62491184
4	85.41713749
5	84.25314479
6	82.09505496
7	79.94251908
8	78.63488297
9	77.92156612
10	77.33961
11	76.65039453
12	75.74948012
13	75.36814904
14	74.74108371
15	74.12069464
16	73.93884669
17	73.69021849
18	73.02971738
19	72.64926579
20	72.21741123
21	71.71344605
22	71.34594571
23	71.02054612
24	70.69362718
25	70.29618607
26	69.88205862
27	69.51673992
28	69.15054437
29	68.80812564
30	68.54298799
31	68.2884657
32	68.1140391
33	67.76248711
34	67.54822538
35	67.42752328
36	67.21354805
37	67.07465569
38	66.89424368
39	66.75018385
40	66.55195622
41	66.2799414
42	66.21295527
43	66.03921692
44	65.79139326
45	65.70252105
46	65.55206475
47	65.39599652
48	65.31901968
49	65.20336454
50	65.04209737
51	64.88151795
52	64.75244845
53	64.55248256
54	64.34807255
55	64.22355163
56	64.06000017
57	63.97742284
58	63.77588859
59	63.75601742
60	63.61250697
61	63.48823238
62	63.36267893
63	63.25780333
64	63.18338826
65	63.14153196
66	63.03036861
67	62.90814118
68	62.78402463
69	62.6823156
70	62.57120381
71	62.47933054
72	62.36817657
73	62.21715526
74	62.06398522
75	61.95949087
76	61.7309568
77	61.65115459
78	61.57772543
79	61.50674725
80	61.4304934
81	61.40208199
82	61.29745613
83	61.26340648
84	61.14661505
85	61.07014381
86	60.99538329
87	60.94346995
88	60.81868933
89	60.76661964
90	60.67537849
91	60.56118976
92	60.49796984
93	60.41179606
94	60.28848388
95	60.20965593
96	60.1566214
97	60.04382471
98	59.91571524
99	59.81968032
