evaluation,split,model,slice_dimension,slice_value,sample_count,mae,rmse,r2,median_absolute_error,p90_absolute_error,mean_error,median_error,median_absolute_percentage_error_pct
random_split,frozen_test,xgboost,area_bucket,120_to_lt_144,9288,36.741787,62.474799,0.710420,21.928761,80.248779,0.236862,7.080532,17.923654
random_split,frozen_test,xgboost,area_bucket,144_plus,5251,76.136999,159.902678,0.704770,39.458794,165.607452,-1.599732,13.456806,22.266306
random_split,frozen_test,xgboost,area_bucket,60_to_lt_90,9837,26.692829,48.221028,0.769171,14.793047,59.373627,0.110178,3.929333,18.105033
random_split,frozen_test,xgboost,area_bucket,90_to_lt_120,12826,28.477958,53.511753,0.717937,16.876400,61.346542,-0.456465,4.374036,16.954836
random_split,frozen_test,xgboost,area_bucket,lt_60,2902,25.182132,45.309286,0.760466,13.119659,59.267273,1.460607,3.442497,24.063311
random_split,frozen_test,xgboost,asking_total_price_bucket,100_to_lt_200,14288,28.695821,42.735141,-1.472740,20.717281,60.156052,5.150252,-0.316631,15.410292
random_split,frozen_test,xgboost,asking_total_price_bucket,200_to_lt_300,3887,57.185454,75.482949,-6.294795,48.277771,111.226715,-16.840872,-28.494644,20.629444
random_split,frozen_test,xgboost,asking_total_price_bucket,300_to_lt_500,2183,101.577585,125.268740,-4.052334,90.287445,193.798080,-45.767473,-65.362671,25.305624
random_split,frozen_test,xgboost,asking_total_price_bucket,500_plus,1044,245.279247,367.663253,0.283197,193.438583,472.081909,-161.252888,-158.703262,27.596367
random_split,frozen_test,xgboost,asking_total_price_bucket,lt_100,18702,17.744955,25.802881,-0.600345,12.839798,37.841545,13.549339,10.548405,19.916307
random_split,frozen_test,xgboost,city_id,三亚,243,45.771139,72.462351,0.831212,30.785530,109.814941,-1.758295,4.190353,13.757836
random_split,frozen_test,xgboost,city_id,上海,347,123.427906,171.876558,0.614912,84.198242,277.351807,-3.648564,5.056091,21.949783
random_split,frozen_test,xgboost,city_id,上饶,299,21.028777,31.110729,0.475489,14.576572,43.619553,5.170599,6.868942,14.841101
random_split,frozen_test,xgboost,city_id,东莞,272,65.586772,98.483624,0.701632,46.978096,136.959167,1.951263,4.912884,22.902117
random_split,frozen_test,xgboost,city_id,中山,375,31.186538,68.517530,0.587551,17.784554,56.169131,-8.169167,-0.401817,16.349297
random_split,frozen_test,xgboost,city_id,临沂,307,38.213761,69.273407,0.645841,26.368317,71.756012,-1.384241,11.818886,25.632731
random_split,frozen_test,xgboost,city_id,丹东,411,18.238919,25.504003,0.799785,13.348831,42.135460,4.387438,6.368582,20.933102
random_split,frozen_test,xgboost,city_id,丹阳,213,16.931749,27.972148,0.631379,12.128461,33.799068,6.351795,3.767825,12.224106
random_split,frozen_test,xgboost,city_id,乌鲁木齐,270,26.451965,42.219261,0.662531,14.569057,62.425659,6.362850,8.668629,18.669222
random_split,frozen_test,xgboost,city_id,九江,332,30.145997,42.785690,0.507141,24.310579,56.966484,-0.553515,9.070011,23.148966
random_split,frozen_test,xgboost,city_id,佛山,308,57.541843,134.183585,0.416220,35.454244,95.048599,-12.521452,7.347488,28.730109
random_split,frozen_test,xgboost,city_id,保定,321,17.986887,24.172624,0.655946,13.955658,35.508408,2.176108,5.804337,16.485224
random_split,frozen_test,xgboost,city_id,兰州,328,22.205467,32.140110,0.704933,14.601891,50.495193,-0.150946,1.994711,15.131105
random_split,frozen_test,xgboost,city_id,凉山,302,22.498995,36.365669,0.292481,15.783424,45.407043,-0.769683,-0.617991,16.942435
random_split,frozen_test,xgboost,city_id,包头,343,20.096382,31.915421,0.737124,14.338242,43.250107,4.353571,4.544651,18.105033
random_split,frozen_test,xgboost,city_id,北京,299,179.787390,255.075948,0.524908,139.550415,372.725861,24.301398,42.373627,29.452492
random_split,frozen_test,xgboost,city_id,北海,399,12.324641,16.015512,0.530306,9.794724,25.609520,3.467063,4.002306,19.952428
random_split,frozen_test,xgboost,city_id,南京,361,95.077192,125.742870,0.382735,69.521683,200.842957,-1.325514,23.970688,30.440778
random_split,frozen_test,xgboost,city_id,南充,276,15.368417,20.513777,0.425643,11.859447,35.141708,5.751727,6.009838,17.890131
random_split,frozen_test,xgboost,city_id,南宁,350,36.409619,53.269188,0.674119,27.190057,78.063156,-3.914186,8.136028,21.587837
random_split,frozen_test,xgboost,city_id,南昌,359,39.662782,56.761048,0.634057,29.217976,88.650803,-2.692460,9.782478,24.088467
random_split,frozen_test,xgboost,city_id,南通,329,51.374218,73.653310,0.500120,35.621506,112.301346,-6.765028,-2.087341,21.895464
random_split,frozen_test,xgboost,city_id,厦门,323,167.657278,242.180216,0.702212,124.678589,369.735107,-6.150246,0.823181,19.697567
random_split,frozen_test,xgboost,city_id,句容,363,18.949201,25.647909,0.504474,13.318962,40.203537,5.699915,5.723404,15.548050
random_split,frozen_test,xgboost,city_id,台州,252,70.813260,111.075067,0.638682,47.547287,140.909302,-9.402030,1.144218,21.313512
random_split,frozen_test,xgboost,city_id,合肥,336,51.802260,72.174158,0.483403,37.181999,114.423630,-8.449011,5.133881,25.885543
random_split,frozen_test,xgboost,city_id,吉安,334,17.468366,23.244044,0.413132,13.372288,36.889565,4.754966,6.263985,15.670107
random_split,frozen_test,xgboost,city_id,吉林,391,16.864857,25.682768,0.740147,11.302353,36.591217,2.756484,4.764884,16.546052
random_split,frozen_test,xgboost,city_id,周口,193,13.945982,18.082778,0.508655,10.927402,28.748164,5.361527,6.271538,16.326876
random_split,frozen_test,xgboost,city_id,呼和浩特,359,27.035005,45.392728,0.746503,16.710976,57.461945,-4.369868,-0.521240,17.308201
random_split,frozen_test,xgboost,city_id,咸阳,355,25.207479,38.879560,0.693931,17.796646,49.981766,-2.192199,3.189682,18.751734
random_split,frozen_test,xgboost,city_id,哈尔滨,411,20.791196,34.476195,0.635320,12.782405,43.328064,1.486244,4.460220,20.696517
random_split,frozen_test,xgboost,city_id,唐山,358,22.678768,36.515241,0.710354,15.333178,47.218544,0.648877,1.803448,18.878922
random_split,frozen_test,xgboost,city_id,嘉兴,329,42.661734,68.564790,0.719717,26.290512,96.777817,-6.151337,2.124733,16.592391
random_split,frozen_test,xgboost,city_id,大理,242,33.897890,67.226499,0.629942,23.178194,62.576050,-12.078444,-4.518257,20.183946
random_split,frozen_test,xgboost,city_id,大连,384,36.484713,52.327863,0.627723,25.318522,82.414612,-6.462293,2.938697,25.146639
random_split,frozen_test,xgboost,city_id,天津,360,60.609151,87.787551,0.486700,43.150719,128.735870,-5.394467,6.742970,29.404370
random_split,frozen_test,xgboost,city_id,太原,356,22.438250,31.862477,0.772399,17.337185,48.047043,3.547393,3.708374,17.293001
random_split,frozen_test,xgboost,city_id,威海,343,28.933544,46.924879,0.771251,19.103561,55.515549,-4.624876,1.193901,18.796922
random_split,frozen_test,xgboost,city_id,宁波,329,61.132733,95.956713,0.580883,41.002762,140.394363,-1.163103,3.375443,19.669845
random_split,frozen_test,xgboost,city_id,安庆,364,16.983105,21.996339,0.519900,14.725938,34.562508,3.944929,5.021988,16.878742
random_split,frozen_test,xgboost,city_id,宜宾,185,21.143670,33.618175,0.654644,15.083267,39.461482,3.823234,6.447754,17.042623
random_split,frozen_test,xgboost,city_id,宜昌,354,20.792564,28.314514,0.649197,16.001520,42.975555,3.703313,7.481728,18.782332
random_split,frozen_test,xgboost,city_id,宝鸡,316,10.721814,14.636395,0.570267,8.513437,21.373407,5.935398,5.388447,18.095975
random_split,frozen_test,xgboost,city_id,岳阳,248,15.309000,20.156156,0.558040,11.883228,31.548882,7.053826,6.939545,15.310095
random_split,frozen_test,xgboost,city_id,常州,394,48.677272,78.625522,0.645631,30.344850,112.931030,-3.536924,7.726700,17.408791
random_split,frozen_test,xgboost,city_id,常德,310,14.705702,21.210775,0.591392,10.807102,32.495697,6.795014,6.138466,12.139125
random_split,frozen_test,xgboost,city_id,常熟,202,38.300065,57.999098,0.598363,26.355198,87.764740,-14.260267,-1.283455,15.078481
random_split,frozen_test,xgboost,city_id,平顶山,122,16.611921,25.721082,0.634402,11.988053,34.453781,3.932734,6.147717,13.311698
random_split,frozen_test,xgboost,city_id,广元,104,20.385138,25.088945,0.405765,18.711937,39.091782,10.386357,10.776165,19.111985
random_split,frozen_test,xgboost,city_id,广州,331,157.421610,327.138211,0.367479,91.936920,322.541016,-21.423254,38.353973,42.348570
random_split,frozen_test,xgboost,city_id,廊坊,386,35.923113,57.905690,0.818272,23.676025,75.366425,-7.791528,-3.019993,18.228794
random_split,frozen_test,xgboost,city_id,开封,348,16.950963,27.565748,0.687064,11.339371,35.131676,2.393249,5.653707,14.488387
random_split,frozen_test,xgboost,city_id,张家口,335,16.867883,33.987181,0.716675,10.364555,31.241856,3.538510,3.908447,16.355220
random_split,frozen_test,xgboost,city_id,徐州,373,33.811392,58.727573,0.652806,20.318008,69.970261,-4.164951,2.694191,15.675880
random_split,frozen_test,xgboost,city_id,德阳,256,14.860538,22.210753,0.506448,11.025101,32.661415,5.905235,4.080203,15.190462
random_split,frozen_test,xgboost,city_id,惠州,105,37.596988,57.383132,0.750692,23.898216,74.935898,-4.839243,9.091011,21.552322
random_split,frozen_test,xgboost,city_id,成都,344,41.618263,57.135489,0.501608,31.794216,84.829193,-1.011284,6.554451,21.781342
random_split,frozen_test,xgboost,city_id,承德,140,25.795170,37.841829,0.544464,18.610161,56.137985,2.049184,8.158119,15.845828
random_split,frozen_test,xgboost,city_id,抚顺,140,13.948687,19.223083,0.559500,11.218269,25.701546,6.924161,6.398464,17.071199
random_split,frozen_test,xgboost,city_id,攀枝花,115,16.665584,21.040528,0.500074,14.927444,33.351501,6.929336,6.240894,19.284544
random_split,frozen_test,xgboost,city_id,新乡,333,18.149766,37.682300,0.323524,12.761574,33.662300,5.828619,5.134399,16.674841
random_split,frozen_test,xgboost,city_id,无锡,326,45.485659,76.415176,0.573548,27.401077,98.189087,-2.592409,7.239189,18.151137
random_split,frozen_test,xgboost,city_id,昆山,343,53.507612,84.605426,0.594163,35.376350,108.988983,-1.268160,6.557663,16.895833
